Site,season,Species,value,City,Long,Lat
H01-OXY1,JA21,Rabbit,17,paca,-118.20939813219788,34.126927657671985
H01-OXY1,JA21,Raccoon,211,paca,-118.20939813219788,34.126927657671985
H01-OXY1,JA21,Red fox,0,paca,-118.20939813219788,34.126927657671985
H01-OXY1,JA21,Stoat,0,paca,-118.20939813219788,34.126927657671985
H01-OXY1,JA21,Striped Skunk,1,paca,-118.20939813219788,34.126927657671985
H01-OXY1,JA21,Virginia opossum,0,paca,-118.20939813219788,34.126927657671985
H01-OXY1,JA21,Weasel (cannot ID),0,paca,-118.20939813219788,34.126927657671985
H01-OXY1,JA21,Western Chipmunks,0,paca,-118.20939813219788,34.126927657671985
H01-OXY1,JA21,Western gray squirrel,0,paca,-118.20939813219788,34.126927657671985
P-OLT,JU21,Black bear,2,tawa,-122.2727399501913,46.91265010614948
P-OLT,JU21,Bobcat,2,tawa,-122.2727399501913,46.91265010614948
P-OLT,JU21,Brush Rabbit,0,tawa,-122.2727399501913,46.91265010614948
P-OLT,JU21,California Ground Squirrel,0,tawa,-122.2727399501913,46.91265010614948
P-OLT,JU21,Coyote,1,tawa,-122.2727399501913,46.91265010614948
P-OLT,JU21,Deer,34,tawa,-122.2727399501913,46.91265010614948
P-OLT,JU21,Domestic cat,0,tawa,-122.2727399501913,46.91265010614948
P-OLT,JU21,Domestic dog,0,tawa,-122.2727399501913,46.91265010614948
P-OLT,JU21,Douglas squirrel,9,tawa,-122.2727399501913,46.91265010614948
P-OLT,JU21,Eastern gray squirrel,0,tawa,-122.2727399501913,46.91265010614948
P-OLT,JU21,Elk,2,tawa,-122.2727399501913,46.91265010614948
P-OLT,JU21,Fox squirrel,0,tawa,-122.2727399501913,46.91265010614948
P-OLT,JU21,Gray fox,0,tawa,-122.2727399501913,46.91265010614948
P-OLT,JU21,Mountain lion,0,tawa,-122.2727399501913,46.91265010614948
P-OLT,JU21,Rabbit,0,tawa,-122.2727399501913,46.91265010614948
P-OLT,JU21,Raccoon,7,tawa,-122.2727399501913,46.91265010614948
P-OLT,JU21,Red fox,0,tawa,-122.2727399501913,46.91265010614948
P-OLT,JU21,Stoat,0,tawa,-122.2727399501913,46.91265010614948
P-OLT,JU21,Striped Skunk,0,tawa,-122.2727399501913,46.91265010614948
P-OLT,JU21,Virginia opossum,12,tawa,-122.2727399501913,46.91265010614948
P-OLT,JU21,Weasel (cannot ID),0,tawa,-122.2727399501913,46.91265010614948
P-OLT,JU21,Western Chipmunks,68,tawa,-122.2727399501913,46.91265010614948
P-OLT,JU21,Western gray squirrel,0,tawa,-122.2727399501913,46.91265010614948
P-RWSR,OC20,Black bear,1,tawa,-122.26845992226572,46.92559930766051
P-RWSR,OC20,Bobcat,0,tawa,-122.26845992226572,46.92559930766051
P-RWSR,OC20,Brush Rabbit,0,tawa,-122.26845992226572,46.92559930766051
P-RWSR,OC20,California Ground Squirrel,0,tawa,-122.26845992226572,46.92559930766051
P-RWSR,OC20,Coyote,29,tawa,-122.26845992226572,46.92559930766051
P-RWSR,OC20,Deer,19,tawa,-122.26845992226572,46.92559930766051
P-RWSR,OC20,Domestic cat,0,tawa,-122.26845992226572,46.92559930766051
P-RWSR,OC20,Domestic dog,0,tawa,-122.26845992226572,46.92559930766051
P-RWSR,OC20,Douglas squirrel,0,tawa,-122.26845992226572,46.92559930766051
P-RWSR,OC20,Eastern gray squirrel,0,tawa,-122.26845992226572,46.92559930766051
P-RWSR,OC20,Elk,19,tawa,-122.26845992226572,46.92559930766051
P-RWSR,OC20,Fox squirrel,0,tawa,-122.26845992226572,46.92559930766051
P-RWSR,OC20,Gray fox,0,tawa,-122.26845992226572,46.92559930766051
P-RWSR,OC20,Mountain lion,0,tawa,-122.26845992226572,46.92559930766051
P-RWSR,OC20,Rabbit,0,tawa,-122.26845992226572,46.92559930766051
P-RWSR,OC20,Raccoon,5,tawa,-122.26845992226572,46.92559930766051
P-RWSR,OC20,Red fox,0,tawa,-122.26845992226572,46.92559930766051
P-RWSR,OC20,Stoat,0,tawa,-122.26845992226572,46.92559930766051
P-RWSR,OC20,Striped Skunk,1,tawa,-122.26845992226572,46.92559930766051
P-RWSR,OC20,Virginia opossum,0,tawa,-122.26845992226572,46.92559930766051
P-RWSR,OC20,Weasel (cannot ID),0,tawa,-122.26845992226572,46.92559930766051
P-RWSR,OC20,Western Chipmunks,0,tawa,-122.26845992226572,46.92559930766051
P-RWSR,OC20,Western gray squirrel,0,tawa,-122.26845992226572,46.92559930766051
H01-BEA2,AP21,Black bear,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,AP21,Bobcat,11,paca,-118.23860893352784,34.18840910560693
H01-BEA2,AP21,Brush Rabbit,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,AP21,California Ground Squirrel,4,paca,-118.23860893352784,34.18840910560693
H01-BEA2,AP21,Coyote,4,paca,-118.23860893352784,34.18840910560693
H01-BEA2,AP21,Deer,5,paca,-118.23860893352784,34.18840910560693
H01-BEA2,AP21,Domestic cat,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,AP21,Domestic dog,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,AP21,Douglas squirrel,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,AP21,Eastern gray squirrel,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,AP21,Elk,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,AP21,Fox squirrel,4,paca,-118.23860893352784,34.18840910560693
H01-BEA2,AP21,Gray fox,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,AP21,Mountain lion,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,AP21,Rabbit,30,paca,-118.23860893352784,34.18840910560693
H01-BEA2,AP21,Raccoon,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,AP21,Red fox,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,AP21,Stoat,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,AP21,Striped Skunk,1,paca,-118.23860893352784,34.18840910560693
H01-BEA2,AP21,Virginia opossum,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,AP21,Weasel (cannot ID),0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,AP21,Western Chipmunks,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,AP21,Western gray squirrel,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,JU21,Black bear,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,JU21,Bobcat,3,paca,-118.23860893352784,34.18840910560693
H01-BEA2,JU21,Brush Rabbit,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,JU21,California Ground Squirrel,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,JU21,Coyote,2,paca,-118.23860893352784,34.18840910560693
H01-BEA2,JU21,Deer,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,JU21,Domestic cat,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,JU21,Domestic dog,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,JU21,Douglas squirrel,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,JU21,Eastern gray squirrel,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,JU21,Elk,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,JU21,Fox squirrel,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,JU21,Gray fox,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,JU21,Mountain lion,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,JU21,Rabbit,1,paca,-118.23860893352784,34.18840910560693
H01-BEA2,JU21,Raccoon,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,JU21,Red fox,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,JU21,Stoat,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,JU21,Striped Skunk,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,JU21,Virginia opossum,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,JU21,Weasel (cannot ID),0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,JU21,Western Chipmunks,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,JU21,Western gray squirrel,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,OC20,Black bear,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,OC20,Bobcat,2,paca,-118.23860893352784,34.18840910560693
H01-BEA2,OC20,Brush Rabbit,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,OC20,California Ground Squirrel,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,OC20,Coyote,8,paca,-118.23860893352784,34.18840910560693
H01-BEA2,OC20,Deer,21,paca,-118.23860893352784,34.18840910560693
H01-BEA2,OC20,Domestic cat,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,OC20,Domestic dog,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,OC20,Douglas squirrel,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,OC20,Eastern gray squirrel,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,OC20,Elk,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,OC20,Fox squirrel,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,OC20,Gray fox,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,OC20,Mountain lion,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,OC20,Rabbit,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,OC20,Raccoon,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,OC20,Red fox,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,OC20,Stoat,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,OC20,Striped Skunk,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,OC20,Virginia opossum,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,OC20,Weasel (cannot ID),0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,OC20,Western Chipmunks,0,paca,-118.23860893352784,34.18840910560693
H01-BEA2,OC20,Western gray squirrel,0,paca,-118.23860893352784,34.18840910560693
H01-HFR1,AP21,Black bear,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,AP21,Bobcat,1,paca,-118.28028507983583,34.22324078580839
H01-HFR1,AP21,Brush Rabbit,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,AP21,California Ground Squirrel,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,AP21,Coyote,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,AP21,Deer,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,AP21,Domestic cat,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,AP21,Domestic dog,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,AP21,Douglas squirrel,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,AP21,Eastern gray squirrel,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,AP21,Elk,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,AP21,Fox squirrel,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,AP21,Gray fox,1,paca,-118.28028507983583,34.22324078580839
H01-HFR1,AP21,Mountain lion,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,AP21,Rabbit,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,AP21,Raccoon,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,AP21,Red fox,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,AP21,Stoat,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,AP21,Striped Skunk,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,AP21,Virginia opossum,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,AP21,Weasel (cannot ID),0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,AP21,Western Chipmunks,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,AP21,Western gray squirrel,10,paca,-118.28028507983583,34.22324078580839
H01-HFR1,JU21,Black bear,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,JU21,Bobcat,4,paca,-118.28028507983583,34.22324078580839
H01-HFR1,JU21,Brush Rabbit,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,JU21,California Ground Squirrel,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,JU21,Coyote,4,paca,-118.28028507983583,34.22324078580839
H01-HFR1,JU21,Deer,9,paca,-118.28028507983583,34.22324078580839
H01-HFR1,JU21,Domestic cat,1,paca,-118.28028507983583,34.22324078580839
H01-HFR1,JU21,Domestic dog,1,paca,-118.28028507983583,34.22324078580839
H01-HFR1,JU21,Douglas squirrel,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,JU21,Eastern gray squirrel,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,JU21,Elk,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,JU21,Fox squirrel,1,paca,-118.28028507983583,34.22324078580839
H01-HFR1,JU21,Gray fox,10,paca,-118.28028507983583,34.22324078580839
H01-HFR1,JU21,Mountain lion,1,paca,-118.28028507983583,34.22324078580839
H01-HFR1,JU21,Rabbit,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,JU21,Raccoon,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,JU21,Red fox,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,JU21,Stoat,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,JU21,Striped Skunk,1,paca,-118.28028507983583,34.22324078580839
H01-HFR1,JU21,Virginia opossum,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,JU21,Weasel (cannot ID),0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,JU21,Western Chipmunks,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,JU21,Western gray squirrel,11,paca,-118.28028507983583,34.22324078580839
H01-HFR1,OC20,Black bear,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,OC20,Bobcat,3,paca,-118.28028507983583,34.22324078580839
H01-HFR1,OC20,Brush Rabbit,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,OC20,California Ground Squirrel,3,paca,-118.28028507983583,34.22324078580839
H01-HFR1,OC20,Coyote,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,OC20,Deer,10,paca,-118.28028507983583,34.22324078580839
H01-HFR1,OC20,Domestic cat,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,OC20,Domestic dog,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,OC20,Douglas squirrel,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,OC20,Eastern gray squirrel,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,OC20,Elk,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,OC20,Fox squirrel,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,OC20,Gray fox,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,OC20,Mountain lion,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,OC20,Rabbit,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,OC20,Raccoon,1,paca,-118.28028507983583,34.22324078580839
H01-HFR1,OC20,Red fox,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,OC20,Stoat,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,OC20,Striped Skunk,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,OC20,Virginia opossum,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,OC20,Weasel (cannot ID),0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,OC20,Western Chipmunks,0,paca,-118.28028507983583,34.22324078580839
H01-HFR1,OC20,Western gray squirrel,53,paca,-118.28028507983583,34.22324078580839
H01-HNP1,OC20,Black bear,0,paca,-118.17428217013232,34.19328012284418
H01-HNP1,OC20,Bobcat,4,paca,-118.17428217013232,34.19328012284418
H01-HNP1,OC20,Brush Rabbit,0,paca,-118.17428217013232,34.19328012284418
H01-HNP1,OC20,California Ground Squirrel,0,paca,-118.17428217013232,34.19328012284418
H01-HNP1,OC20,Coyote,74,paca,-118.17428217013232,34.19328012284418
H01-HNP1,OC20,Deer,0,paca,-118.17428217013232,34.19328012284418
H01-HNP1,OC20,Domestic cat,0,paca,-118.17428217013232,34.19328012284418
H01-HNP1,OC20,Domestic dog,0,paca,-118.17428217013232,34.19328012284418
H01-HNP1,OC20,Douglas squirrel,0,paca,-118.17428217013232,34.19328012284418
H01-HNP1,OC20,Eastern gray squirrel,0,paca,-118.17428217013232,34.19328012284418
H01-HNP1,OC20,Elk,0,paca,-118.17428217013232,34.19328012284418
H01-HNP1,OC20,Fox squirrel,0,paca,-118.17428217013232,34.19328012284418
H01-HNP1,OC20,Gray fox,0,paca,-118.17428217013232,34.19328012284418
H01-HNP1,OC20,Mountain lion,0,paca,-118.17428217013232,34.19328012284418
H01-HNP1,OC20,Rabbit,0,paca,-118.17428217013232,34.19328012284418
H01-HNP1,OC20,Raccoon,0,paca,-118.17428217013232,34.19328012284418
H01-HNP1,OC20,Red fox,0,paca,-118.17428217013232,34.19328012284418
H01-HNP1,OC20,Stoat,0,paca,-118.17428217013232,34.19328012284418
H01-HNP1,OC20,Striped Skunk,0,paca,-118.17428217013232,34.19328012284418
H01-HNP1,OC20,Virginia opossum,0,paca,-118.17428217013232,34.19328012284418
H01-HNP1,OC20,Weasel (cannot ID),0,paca,-118.17428217013232,34.19328012284418
H01-HNP1,OC20,Western Chipmunks,0,paca,-118.17428217013232,34.19328012284418
H01-HNP1,OC20,Western gray squirrel,0,paca,-118.17428217013232,34.19328012284418
H01-TMC1,AP21,Black bear,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,AP21,Bobcat,1,paca,-118.18140606023437,34.17571692711669
H01-TMC1,AP21,Brush Rabbit,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,AP21,California Ground Squirrel,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,AP21,Coyote,20,paca,-118.18140606023437,34.17571692711669
H01-TMC1,AP21,Deer,20,paca,-118.18140606023437,34.17571692711669
H01-TMC1,AP21,Domestic cat,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,AP21,Domestic dog,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,AP21,Douglas squirrel,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,AP21,Eastern gray squirrel,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,AP21,Elk,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,AP21,Fox squirrel,2,paca,-118.18140606023437,34.17571692711669
H01-TMC1,AP21,Gray fox,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,AP21,Mountain lion,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,AP21,Rabbit,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,AP21,Raccoon,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,AP21,Red fox,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,AP21,Stoat,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,AP21,Striped Skunk,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,AP21,Virginia opossum,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,AP21,Weasel (cannot ID),0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,AP21,Western Chipmunks,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,AP21,Western gray squirrel,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JA21,Black bear,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JA21,Bobcat,6,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JA21,Brush Rabbit,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JA21,California Ground Squirrel,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JA21,Coyote,82,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JA21,Deer,84,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JA21,Domestic cat,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JA21,Domestic dog,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JA21,Douglas squirrel,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JA21,Eastern gray squirrel,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JA21,Elk,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JA21,Fox squirrel,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JA21,Gray fox,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JA21,Mountain lion,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JA21,Rabbit,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JA21,Raccoon,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JA21,Red fox,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JA21,Stoat,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JA21,Striped Skunk,6,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JA21,Virginia opossum,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JA21,Weasel (cannot ID),0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JA21,Western Chipmunks,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JA21,Western gray squirrel,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JU21,Black bear,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JU21,Bobcat,1,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JU21,Brush Rabbit,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JU21,California Ground Squirrel,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JU21,Coyote,45,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JU21,Deer,27,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JU21,Domestic cat,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JU21,Domestic dog,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JU21,Douglas squirrel,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JU21,Eastern gray squirrel,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JU21,Elk,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JU21,Fox squirrel,5,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JU21,Gray fox,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JU21,Mountain lion,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JU21,Rabbit,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JU21,Raccoon,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JU21,Red fox,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JU21,Stoat,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JU21,Striped Skunk,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JU21,Virginia opossum,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JU21,Weasel (cannot ID),0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JU21,Western Chipmunks,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,JU21,Western gray squirrel,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,OC20,Black bear,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,OC20,Bobcat,2,paca,-118.18140606023437,34.17571692711669
H01-TMC1,OC20,Brush Rabbit,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,OC20,California Ground Squirrel,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,OC20,Coyote,37,paca,-118.18140606023437,34.17571692711669
H01-TMC1,OC20,Deer,73,paca,-118.18140606023437,34.17571692711669
H01-TMC1,OC20,Domestic cat,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,OC20,Domestic dog,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,OC20,Douglas squirrel,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,OC20,Eastern gray squirrel,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,OC20,Elk,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,OC20,Fox squirrel,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,OC20,Gray fox,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,OC20,Mountain lion,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,OC20,Rabbit,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,OC20,Raccoon,0,paca,-118.18140606023437,34.17571692711669
H01-TMC1,OC20,Red fox,0,paca,-118.18140606023437,34.17571692711669
